Unnamed: 0,hour,day_of_week,month,is_weekend,day_of_month,set_point_temperature,return_temperature,supply_air_temperature,supply_fan,valve_position,heat_exchanger,heating_supply_temperature,cooling_supply_temperature,cooling_pump,heating_season,ahu_1,ahu_2,ahu_3,ahu_4,ahu_5,ahu_6,ahu_7,ahu_8,label
25920.0,15.0,0.0,4.0,0.0,24.0,23.0,23.1,21.8,1.0,0.0,0.0,39.4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21198.0,16.0,3.0,3.0,0.0,16.0,22.0,21.5,19.9,1.0,0.0,1.0,51.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16822.0,17.0,4.0,2.0,0.0,3.0,21.0,20.6,24.7,1.0,9.0,1.0,51.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16914.0,8.0,4.0,2.0,0.0,10.0,21.0,19.5,22.2,1.0,11.0,1.0,56.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49289.0,3.0,3.0,9.0,0.0,14.0,24.7,27.0,28.6,1.0,15.0,0.0,0.0,21.60000038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17084.0,0.0,4.0,2.0,0.0,17.0,21.0,21.0,23.2,1.0,8.0,1.0,51.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16982.0,18.0,0.0,2.0,0.0,13.0,21.0,22.0,23.8,1.0,10.0,1.0,46.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13331.0,7.0,3.0,1.0,0.0,5.0,22.0,22.0,32.3,1.0,11.0,1.0,46.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34443.0,17.0,5.0,6.0,1.0,3.0,24.0,24.0,23.5,0.0,0.0,0.0,0.0,13.60000038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35035.0,9.0,2.0,6.0,0.0,28.0,24.0,22.7,20.1,1.0,20.0,0.0,0.0,14.30000019,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59224.0,4.0,1.0,11.0,0.0,7.0,22.4,20.5,16.0,1.0,0.0,1.0,26.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54404.0,9.0,0.0,10.0,0.0,16.0,24.0,24.3,22.3,1.0,0.0,0.0,0.0,23.10000038,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20927.0,7.0,5.0,3.0,1.0,4.0,22.0,19.0,30.5,0.0,30.0,0.0,33.9,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59166.0,18.0,5.0,11.0,1.0,4.0,22.4,23.4,23.1,0.0,0.0,0.0,27.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13358.0,10.0,4.0,1.0,0.0,6.0,22.0,21.3,29.8,1.0,11.0,1.0,46.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
